번호,교육명,clean_sentence,okt,mecab
30507400,[인생설계] 삶을 변화시키는 성북 하루공부 (중장년 맞춤형 색채와 퍼스널칼라 분석), 인생설계  삶을 변화시키는 성북 하루공부  중장년 맞춤형 색채와 퍼스널칼라 분석 ,"['인생', '설계', '삶', '변화', '성북', '하루', '공부', '중장', '년', '맞춤', '색채', '퍼스', '널', '칼라', '분석']","['인생', '설계', '삶', '변화', '성북', '하루', '공부', '중', '장년', '맞춤', '색채', '퍼스널', '칼라', '분석']"
30525637,[인생설계] 삶을 변화시키는 성북 하루공부 ( 이지훈교수와 함께하는 집에서 혼자 할 수 있는 건강스트레칭 ), 인생설계  삶을 변화시키는 성북 하루공부   이지훈교수와 함께하는 집에서 혼자 할 수 있는 건강스트레칭  ,"['인생', '설계', '삶', '변화', '성북', '하루', '공부', '이지훈', '교수', '집', '혼자', '수', '건강', '스트레칭']","['인생', '설계', '삶', '변화', '성북', '하루', '공부', '이지훈', '교수', '집', '혼자', '수', '건강', '스트레칭']"
30525308,[인생설계] 삶을 변화시키는 성북 하루공부 ( 이지훈교수와 함께하는 집에서 혼자 할 수 있는 근력운동 ), 인생설계  삶을 변화시키는 성북 하루공부   이지훈교수와 함께하는 집에서 혼자 할 수 있는 근력운동  ,"['인생', '설계', '삶', '변화', '성북', '하루', '공부', '이지훈', '교수', '집', '혼자', '수', '근력', '운동']","['인생', '설계', '삶', '변화', '성북', '하루', '공부', '이지훈', '교수', '집', '혼자', '수', '근력', '운동']"
30510795,"[인생설계] 삶을 변화시키는 성북 하루공부 ( 내가 아는 둘레길, 내가 걷는 둘레길 )", 인생설계  삶을 변화시키는 성북 하루공부   내가 아는 둘레길  내가 걷는 둘레길  ,"['인생', '설계', '삶', '변화', '성북', '하루', '공부', '내', '둘레길', '내', '둘레길']","['인생', '설계', '삶', '변화', '성북', '하루', '공부', '내', '둘레길', '내', '둘레길']"
30510517,[인생설계] 삶을 변화시키는 성북 하루공부 (2023년 바뀌는 세금 총정리), 인생설계  삶을 변화시키는 성북 하루공부    바뀌는 세금 총정리 ,"['인생', '설계', '삶', '변화', '성북', '하루', '공부', '세금', '정리']","['인생', '설계', '삶', '변화', '성북', '하루', '공부', '세금', '정리']"
30508453,[인생설계] 삶을 변화시키는 성북 하루공부 (지성진작가의 포토드로잉-빛의 마술 사진을 하면 좋은점), 인생설계  삶을 변화시키는 성북 하루공부  지성진작가의 포토드로잉 빛의 마술 사진을 하면 좋은점 ,"['인생', '설계', '삶', '변화', '성북', '하루', '공부', '지성진', '작가', '포토', '드로잉', '빛', '마술', '사진', '점']","['인생', '설계', '삶', '변화', '성북', '하루', '공부', '지성', '작가', '포토', '드로잉', '빛', '마술', '사진', '점']"
30507816,[인생설계] 삶을 변화시키는 성북 하루공부 (SNS. 단군이래 홍보하기 가장 좋은 시절), 인생설계  삶을 변화시키는 성북 하루공부  SNS  단군이래 홍보하기 가장 좋은 시절 ,"['인생', '설계', '삶', '변화', '성북', '하루', '공부', '단군', '홍보', '가장', '시절']","['인생', '설계', '삶', '변화', '성북', '하루', '공부', '단군', '이래', '홍보', '시절']"
30507772,[인생설계] 삶을 변화시키는 성북 하루공부 ( 유아숲지도사에게 배우는 생태숲 놀이 ), 인생설계  삶을 변화시키는 성북 하루공부   유아숲지도사에게 배우는 생태숲 놀이  ,"['인생', '설계', '삶', '변화', '성북', '하루', '공부', '유아', '숲', '지도사', '생태', '숲', '놀이']","['인생', '설계', '삶', '변화', '성북', '하루', '공부', '유아', '숲지도', '사', '생태', '숲', '놀이']"
30507437,[인생설계] 삶을 변화시키는 성북 하루공부 (메타버스를 활용한 디지털 영상 콘텐츠 만들기), 인생설계  삶을 변화시키는 성북 하루공부  메타버스를 활용한 디지털 영상 콘텐츠 만들기 ,"['인생', '설계', '삶', '변화', '성북', '하루', '공부', '메타', '버스', '활용', '디지털', '영상', '콘텐츠', '만들기']","['인생', '설계', '삶', '변화', '성북', '하루', '공부', '메타', '버스', '활용', '디지털', '영상', '콘텐츠']"
30507318,"[인생설계] 삶을 변화시키는 성북 하루공부 (시니어, 우리도 코딩~할 수 있어!)", 인생설계  삶을 변화시키는 성북 하루공부  시니어  우리도 코딩 할 수 있어  ,"['인생', '설계', '삶', '변화', '성북', '하루', '공부', '시니어', '우리', '코딩', '수']","['인생', '설계', '삶', '변화', '성북', '하루', '공부', '시니어', '우리', '코딩', '수']"
30507154,[인생설계] 삶을 변화시키는 성북 하루공부 (알고보면 더 맛있는 전통주 이야기), 인생설계  삶을 변화시키는 성북 하루공부  알고보면 더 맛있는 전통주 이야기 ,"['인생', '설계', '삶', '변화', '성북', '하루', '공부', '알', '더', '전통주', '이야기']","['인생', '설계', '삶', '변화', '성북', '하루', '공부', '전통주', '이야기']"
30507035,[인생설계] 삶을 변화시키는 성북 하루공부 ( 치매 알면 이길 수 있다 ), 인생설계  삶을 변화시키는 성북 하루공부   치매 알면 이길 수 있다  ,"['인생', '설계', '삶', '변화', '성북', '하루', '공부', '치매', '알', '수']","['인생', '설계', '삶', '변화', '성북', '하루', '공부', '치매', '수']"
